,Subject,Description,Start Date,Start  Time,End Time,Location
109,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-11-22,19:30,20:55, 310 LINDE
110,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-11-29,19:30,20:55, 310 LINDE
111,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-12-01,19:30,20:55, 310 LINDE
112,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-09-28,11:00,11:55, 201 BRG
113,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-09-30,11:00,11:55, 201 BRG
114,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-10-05,11:00,11:55, 201 BRG
115,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-10-07,11:00,11:55, 201 BRG
116,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-10-12,11:00,11:55, 201 BRG
117,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-10-14,11:00,11:55, 201 BRG
118,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-10-19,11:00,11:55, 201 BRG
119,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-10-21,11:00,11:55, 201 BRG
120,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-10-26,11:00,11:55, 201 BRG
121,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-10-28,11:00,11:55, 201 BRG
122,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-11-02,11:00,11:55, 201 BRG
123,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-11-04,11:00,11:55, 201 BRG
124,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-11-09,11:00,11:55, 201 BRG
125,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-11-11,11:00,11:55, 201 BRG
126,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-11-16,11:00,11:55, 201 BRG
127,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-11-18,11:00,11:55, 201 BRG
128,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-11-23,11:00,11:55, 201 BRG
129,Ph 001A,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: 06 Cheung, C",2022-11-30,11:00,11:55, 201 BRG
130,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-09-29,15:00,15:55,102 STL
131,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-03,15:00,15:55,102 STL
132,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-06,15:00,15:55,102 STL
133,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-10,15:00,15:55,102 STL
134,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-13,15:00,15:55,102 STL
135,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-17,15:00,15:55,102 STL
136,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-20,15:00,15:55,102 STL
137,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-24,15:00,15:55,102 STL
138,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-27,15:00,15:55,102 STL
139,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-10-31,15:00,15:55,102 STL
140,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-11-03,15:00,15:55,102 STL
141,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-11-07,15:00,15:55,102 STL
142,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-11-10,15:00,15:55,102 STL
143,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-11-14,15:00,15:55,102 STL
144,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-11-17,15:00,15:55,102 STL
145,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-11-21,15:00,15:55,102 STL
146,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-11-28,15:00,15:55,102 STL
147,Ph 001A Recitation,"Course Title: Classical Mechanics and Electromagnetism
Section/Instructor: nan",2022-12-01,15:00,15:55,102 STL
148,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-09-27,09:00,10:25, 117 DAB
149,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-09-29,09:00,10:25, 117 DAB
150,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-10-04,09:00,10:25, 117 DAB
151,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-10-06,09:00,10:25, 117 DAB
152,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-10-11,09:00,10:25, 117 DAB
153,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-10-13,09:00,10:25, 117 DAB
154,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-10-18,09:00,10:25, 117 DAB
155,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-10-20,09:00,10:25, 117 DAB
156,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-10-25,09:00,10:25, 117 DAB
157,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-10-27,09:00,10:25, 117 DAB
158,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-11-01,09:00,10:25, 117 DAB
159,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-11-03,09:00,10:25, 117 DAB
160,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-11-08,09:00,10:25, 117 DAB
161,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-11-10,09:00,10:25, 117 DAB
162,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-11-15,09:00,10:25, 117 DAB
163,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-11-17,09:00,10:25, 117 DAB
164,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-11-22,09:00,10:25, 117 DAB
165,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-11-29,09:00,10:25, 117 DAB
166,Wr 002,"Course Title: Introduction to Academic Writing
Section/Instructor: 01 Schneiderman, J",2022-12-01,09:00,10:25, 117 DAB
